codigoEstacion,nombre,bajoplastico,activa,visible,longitud,latitud,altitud,xutm,yutm,huso,provincia_id,provincia_nombre
10,Adra,False,True,True,025932000W,364448000N,2,500683.0,4066780.0,30,4,Almería
2,Almería,False,True,True,022408000W,365007000N,5,553282.0,4076780.0,30,4,Almería
8,Cuevas de Almanzora,False,True,True,014801000W,371524000N,28,606367.0,4124030.0,30,4,Almería
5,Fiñana,False,True,True,025019000W,370924000N,958,514311.0,4112270.0,30,4,Almería
7,Huércal-Overa,False,True,True,015303000W,372444000N,303,598735.0,4141210.0,30,4,Almería
1,La Mojonera,False,True,True,024215000W,364714000N,137,526376.0,4071320.0,30,4,Almería
11,Níjar,False,True,True,020929000W,365702000N,169,574960.0,4089720.0,30,4,Almería
4,Tabernas,False,True,True,021808000W,370528000N,502,561998.0,4105230.0,30,4,Almería
12,Tíjola,False,True,True,022734000W,372242000N,776,547839.0,4137000.0,30,4,Almería
6,Virgen de Fátima-Cuevas de Almanzora,False,True,True,014613000W,372320000N,173,608847.0,4138750.0,30,4,Almería
1,Basurta-Jerez de la Frontera,False,True,True,060102000W,364525000N,39,230650.0,4072170.0,30,11,Cádiz
5,Conil de la Frontera,False,True,True,060757000W,361958000N,22,218803.0,4025430.0,30,11,Cádiz
101,IFAPA Centro de Chipiona,False,True,True,062359000W,364503000N,7,196448.0,4072630.0,30,11,Cádiz
2,Jerez de la Frontera,False,True,True,060048000W,363833000N,17,230594.0,4059470.0,30,11,Cádiz
7,Jimena de la Frontera,False,True,True,052301000W,362449000N,50,286263.0,4032470.0,30,11,Cádiz
10,Puerto de Santa María,False,True,True,061017320W,363615937N,3,216316.92,4055676.0,30,11,Cádiz
11,Sanlúcar de Barrameda,False,True,True,061948000W,364308000N,29,202554.0,4068870.0,30,11,Cádiz
6,Vejer de la Frontera,False,True,True,055024000W,361706000N,13,244927.0,4019310.0,30,11,Cádiz
4,Villamartín,False,True,True,053725000W,365035000N,146,266049.0,4080680.0,30,11,Cádiz
8,Baena,False,True,True,041821000W,374129000N,310,384851.0,4172400.0,30,14,Córdoba
1,Belmez,False,True,True,051234000W,381515000N,503,306667.0,4236350.0,30,14,Córdoba
6,Córdoba,False,True,True,044810000W,375125000N,94,341399.0,4191480.0,30,14,Córdoba
5,El Carpio,False,True,True,043014000W,375450000N,171,367791.0,4197330.0,30,14,Córdoba
4,Hornachuelos,False,True,True,050936000W,374311000N,130,309617.0,4176930.0,30,14,Córdoba
101,IFAPA Centro de Cabra,False,True,True,042551000W,372953000N,543,373516.0,4151100.0,30,14,Córdoba
102,IFAPA Centro de Hinojosa del Duque,False,True,True,050655000W,382946000N,543,315518.0,4263000.0,30,14,Córdoba
9,Palma del Rio,False,True,True,051337000W,374332000N,58,303720.0,4177720.0,30,14,Córdoba
7,Santaella,False,True,True,045307000W,373120000N,196,333382.0,4154500.0,30,14,Córdoba
11,Almuñecar,False,True,True,034044000W,364506000N,29,439384.0,4067570.0,30,18,Granada
1,Baza,False,True,True,024603000W,373352000N,718,520514.0,4157520.0,30,18,Granada
7,Cádiar,False,True,True,031102000W,365523000N,928,483613.0,4086360.0,30,18,Granada
102,Huéneja,False,True,True,025748530W,371254090N,1110,503240.0,4118727.0,30,18,Granada
101,IFAPA Centro Camino del Purchil,False,True,True,033818000W,371019000N,630,443311.0,4114150.0,30,18,Granada
5,Iznalloz,False,True,True,033305000W,372459000N,921,451202.0,4141210.0,30,18,Granada
6,Jerez del Marquesado,False,True,True,030859000W,371125000N,1201,486699.0,4116020.0,30,18,Granada
3,Loja,False,True,True,040817000W,371009000N,463,398957.0,4114260.0,30,18,Granada
10,Padul,False,True,True,033601000W,370107000N,747,446599.0,4097120.0,30,18,Granada
12,Pinos Puente Casanueva,False,True,True,034708058W,371430720N,549,430324.34,4121993.2,30,18,Granada
2,Puebla de Don Fadrique,False,True,True,022254000W,375233000N,1017,554375.0,4192250.0,30,18,Granada
8,Zafarraya,False,True,True,040913000W,365925000N,892,397321.0,4094420.0,30,18,Granada
10,Almonte,False,True,True,062835000W,370853000N,13,191221.0,4116990.0,30,21,Huelva
103,Almonte bajo plástico,True,True,True,063342270W,370430280N,38,183346.69,4109139.5,30,21,Huelva
6,Aroche,False,True,True,065642000W,375729000N,293,153376.0,4208510.0,30,21,Huelva
8,El Campillo,False,True,True,063557000W,373939000N,383,182491.0,4174300.0,30,21,Huelva
3,Gibraleón,False,True,True,070335000W,372444000N,147,140652.0,4148360.0,30,21,Huelva
11,Gibraleón - Manzorrales,False,True,True,070055492W,371831903N,43,144096.0,4136702.0,30,21,Huelva
102,IFAPA Centro Huelva. El Cebollar Bajo Plástico,True,True,True,064804000W,371427000N,64,162775.0,4128400.0,30,21,Huelva
101,IFAPA Centro Huelva. Finca El Cebollar,False,True,True,064808000W,371425000N,63,162674.0,4128310.0,30,21,Huelva
9,La Palma del Condado,False,True,True,063229000W,372201000N,171,186354.0,4141470.0,30,21,Huelva
7,La Puebla de Guzmán,False,True,True,071454000W,373307000N,248,124659.0,4164620.0,30,21,Huelva
